ACCIDENT_NO,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN
T20120000046,1,3,60,2,1,1,1,0
T20120000062,1,2,100,5,0,1,1,1
T20120000060,1,2,60,2,0,1,0,0
T20120000009,5,3,100,5,0,1,1,0
T20120000059,1,2,100,5,0,1,1,0
T20120000058,1,2,60,1,0,1,0,0
T20120000056,1,2,100,2,0,1,0,0
T20120000054,1,2,80,1,1,1,1,0
T20120000053,1,2,80,2,4,1,1,0
T20120000028,5,2,100,2,0,1,1,0
T20120000050,1,3,60,5,0,1,1,0
T20120005091,1,3,100,5,1,1,0,0
T20120000602,4,3,60,2,0,1,1,0
T20120000044,1,2,60,2,1,1,1,1
T20120027702,1,3,60,1,2,1,1,1
T20130002969,1,3,50,5,2,1,1,1
T20120000043,5,2,80,2,1,1,1,0
T20120000032,3,3,50,2,1,1,1,0
T20120000021,1,3,50,5,1,1,1,1
T20120000018,5,3,100,1,0,1,1,0
T20120000013,3,2,60,2,0,1,1,0
T20120000086,3,2,60,5,0,1,1,1
T20120000083,5,1,100,5,0,1,1,0
T20120000012,3,2,80,1,2,1,1,0
T20120000082,1,2,80,1,1,1,1,1
T20120000066,1,2,100,5,5,1,1,0
T20120000450,1,2,70,5,1,1,1,1
T20120000065,1,2,50,5,2,1,1,0
T20120000064,5,3,100,5,0,1,1,1
T20120000063,1,2,60,2,2,1,1,0
T20120000096,1,3,60,5,1,1,1,1
T20120000093,1,3,100,1,2,1,1,1
T20120000141,1,3,50,2,0,1,1,1
T20120000091,1,2,60,5,0,1,1,1
T20120000079,1,2,100,2,0,1,1,1
T20120000084,1,3,80,5,1,1,1,1
T20120003216,3,3,40,2,1,1,1,0
T20120000087,1,3,60,5,0,1,0,0
T20120000090,1,2,60,5,0,1,1,1
T20120000274,1,3,100,5,0,1,0,0
T20120000109,1,2,110,2,0,1,1,1
T20120000104,1,3,100,2,0,1,1,1
T20120000100,1,2,100,5,1,1,1,0
T20120000323,1,3,60,5,1,1,1,1
T20120000099,2,3,60,2,1,1,1,0
T20120000098,1,3,60,5,0,1,1,1
T20120007866,0,3,60,2,1,1,1,0
T20120001135,1,2,100,5,0,1,1,1
T20120000148,2,3,100,5,1,1,0,0
T20120000900,1,2,70,2,1,1,0,0
T20120000097,1,2,60,2,0,1,1,0
T20120000592,1,3,80,5,0,1,1,0
T20120002545,1,3,50,1,1,1,0,0
T20120000748,1,2,60,5,0,1,1,0
T20120000116,3,2,60,5,0,1,1,0
T20120004791,1,3,50,1,1,1,1,1
T20120007314,1,3,60,2,0,1,1,0
T20120001375,1,3,50,1,1,1,1,0
T20120000146,1,2,60,5,0,1,1,1
T20120000278,1,3,70,2,1,1,1,0
T20120000165,2,3,50,1,2,1,1,1
T20120000167,1,1,80,5,0,1,1,1
T20120000142,1,2,80,1,3,1,1,1
T20120000169,1,2,60,1,1,1,0,0
T20120000174,5,3,100,5,0,1,1,0
T20120000139,1,3,60,1,3,1,1,0
T20120000147,1,2,60,2,1,1,1,0
T20120000152,1,3,80,2,1,1,1,0
T20120000138,1,2,100,1,0,1,1,1
T20120000253,5,3,60,2,1,1,1,0
T20120000155,1,2,50,2,0,1,1,1
T20120000377,3,3,40,5,1,1,1,0
T20120000133,1,2,60,2,0,1,1,0
T20120000131,1,2,80,5,0,1,0,0
T20120000124,1,3,60,5,0,1,1,1
T20120000137,5,2,100,5,0,1,1,0
T20120003650,1,2,80,5,0,1,1,0
T20120000322,1,2,90,1,1,1,1,1
T20120000185,1,2,40,5,0,1,1,1
