ACCIDENT_NO,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN,TAKEN_HOSPITAL,MEDIAN_AGE_GROUP,DAY_OF_WEEK,NO_OF_VEHICLES,NO_PERSONS,AGG_LIGH_SURF_ATMOS_COND,VEHICLE_YEAR_MANUF,VEHICLE_FUEL_TYPE,VEHICLES_TARE_WEIGHT,AGG_ROAD_SURFACE_TYPE,CAUGHT_FIRE,HIGHEST_LEVEL_OF_DAMAGE
T20120000009,OTHER,100,5,0,1,2,0,0.0,40-64,1,1,2,2.33,1996,P,1350.0,1,2,5
T20120000012,SERIOUS,80,1,2,1,2,0,1.0,26-39,1,2,3,1.67,1988,P,1375.0,1,2,2
T20120000013,SERIOUS,60,2,0,1,2,0,1.0,26-39,1,2,1,1.67,1997,P,1775.0,1,2,4
T20120000018,OTHER,100,1,0,1,1,0,0.0,17-25,1,1,1,2.33,1983,P,910.0,1,2,5
T20120000021,OTHER,50,5,1,1,2,1,1.0,40-64,1,1,3,1.0,1998,P,1300.0,1,2,3
T20120000028,SERIOUS,100,2,0,1,2,0,1.0,17-25,1,1,1,2.33,1996,P,2040.0,1,2,5
T20120000032,OTHER,50,2,1,1,1,0,1.0,Under 16,1,1,2,1.67,2008,M,1622.0,1,2,0
T20120000043,SERIOUS,80,2,1,1,1,0,0.0,17-25,1,2,3,2.33,2006,D,1899.0,1,2,4
T20120000044,SERIOUS,60,2,1,1,2,1,1.0,17-25,1,2,2,1.0,1996,D,2019.0,1,2,1
T20120000046,OTHER,60,2,1,1,2,0,1.0,40-64,1,1,2,1.0,2001,M,1350.0,1,2,1
T20120000050,OTHER,50,5,0,1,2,0,1.0,40-64,1,1,1,1.0,2003,P,1347.0,1,2,1
T20120000053,SERIOUS,80,2,4,1,1,0,1.0,17-25,1,2,7,1.0,1997,P,1395.0,3,2,4
T20120000054,SERIOUS,80,1,1,1,1,0,0.0,17-25,1,2,2,1.0,1997,M,1485.0,1,2,1
T20120000056,SERIOUS,100,2,0,1,1,0,0.0,40-64,1,1,2,1.0,1996,P,1050.0,1,2,4
T20120000058,SERIOUS,60,1,0,1,2,0,1.0,40-64,1,1,1,1.0,1972,P,1200.0,1,2,3
T20120000059,SERIOUS,100,5,0,1,1,0,0.0,26-39,1,1,2,1.0,1991,P,1200.0,1,2,5
T20120000060,SERIOUS,60,2,0,1,2,0,0.0,17-25,1,1,1,1.0,2008,P,1300.0,1,2,1
T20120000062,SERIOUS,100,5,0,1,1,1,1.0,26-39,1,1,1,1.0,2010,D,2100.0,1,2,5
T20120000063,SERIOUS,60,2,2,1,2,0,1.0,26-39,1,2,3,1.0,2003,P,1046.0,1,2,1
T20120000064,OTHER,100,5,0,1,2,1,0.0,65+,1,1,2,2.33,2007,P,1200.0,3,2,4
T20120000065,SERIOUS,50,5,2,1,2,0,1.0,17-25,1,2,3,1.0,1995,M,1480.0,1,2,2
T20120000066,SERIOUS,100,5,5,1,2,0,1.0,26-39,1,2,10,1.0,1997,D,1733.0,1,2,3
T20120000079,SERIOUS,100,2,0,1,2,1,0.0,40-64,2,1,1,1.0,1994,P,0.0,1,2,1
T20120000082,SERIOUS,80,1,1,1,2,1,0.0,65+,1,2,2,0.67,1997,M,1652.0,1,2,2
T20120000083,FATAL,100,5,0,1,2,0,1.0,26-39,1,1,3,2.33,2000,D,1000.0,1,2,3
T20120000084,OTHER,80,5,1,1,2,1,0.0,17-25,2,1,2,1.0,2007,P,1050.0,1,2,4
T20120000086,SERIOUS,60,5,0,1,2,1,1.0,40-64,1,2,2,1.67,1997,M,1372.0,1,2,4
T20120000087,OTHER,60,5,0,1,2,0,1.0,17-25,2,1,1,1.0,2006,P,1000.0,1,2,1
T20120000090,SERIOUS,60,5,0,1,2,1,1.0,26-39,2,1,1,1.0,1994,P,1400.0,1,2,4
T20120000091,SERIOUS,60,5,0,1,2,1,1.0,26-39,2,1,1,1.33,1993,P,1000.0,1,2,5
T20120000093,OTHER,100,1,2,1,1,1,1.0,17-25,2,2,3,0.67,2010,P,1182.0,1,2,4
T20120000096,OTHER,60,5,1,1,2,1,1.0,40-64,2,2,2,1.0,1995,P,1411.0,1,2,0
T20120000097,SERIOUS,60,2,0,1,2,0,0.0,17-25,2,2,4,1.0,1996,M,1570.0,1,2,4
T20120000098,OTHER,60,5,0,1,2,1,1.0,40-64,2,1,1,1.0,2000,P,1420.0,1,2,4
T20120000099,OTHER,60,2,1,1,2,0,0.0,26-39,2,2,2,1.33,2004,P,1395.0,1,2,3
T20120000100,SERIOUS,100,5,1,1,2,0,1.0,17-25,1,2,2,1.0,2002,D,1813.0,1,2,4
